step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
423,37404,1692,0.058755696924611876,0.75,0.75,,,,,
424,37504,1696,0.026896543790250384,1.0,1.0,,,,,
425,37604,1700,0.0362287135338488,1.0,1.0,0.018122261839607745,1.0,1.0,,
426,37704,1704,0.07382187220911875,0.75,0.75,,,,,
427,37804,1708,0.030380497904197907,1.0,1.0,,,,,
428,37904,1712,0.06228543519072143,1.0,1.0,,,,,
429,38004,1716,0.030809204170835377,1.0,1.0,,,,,
430,38072,1720,0.07058296834080693,0.75,0.75,,,,,
431,38172,1724,0.042572431258519526,0.75,0.75,,,,,
432,38272,1728,0.047985367939551604,0.75,0.75,,,,,
